subject	world	square_path	chosen_node_path	chosen_value	all_values
S191334	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(7,1);p(6,1);p(6,2);p(6,3);p(6,4);	N3151,N8688,N1452,N54,N4714,N3348,N8906,N6836	10.25	10.25;9.5;9.667;9.75;10.417;10.75;11.25;11.417;11.0;11.167
S20545	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N4422,N6940	9.5	9.5;9.667;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
S224593	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S235282	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S247056	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S248332	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S250296	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N4422,N6940	9.5	9.5;9.667;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
S256137	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N4422,N6940	9.5	9.5;9.667;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
S265716	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N54,N4714,N3570,N8310,N5359	9.75	9.75;9.5;9.667;10.417;9.917;10.75;11.25;11.417;11.0;11.167
S269331	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N4422,N6940	9.5	9.5;9.667;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
S279506	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N4422,N6940	9.5	9.5;9.667;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
