	world	node	child	value	prob	N	hash	dv_0.5	dv_0.55	dv_0.6	dv_0.65	dv_0.7	dv_0.75	dv_0.8	dv_0.85	dv_0.9	dv_0.95
65	museum	N8999294	N3878259	17.5	0.3333333333	93	museum N8999294	10.179	10.911	11.643	12.375	13.107	13.839	14.571	15.304	16.036	16.768
64	museum	N8999294	N3583653	16.928572	0.6559139785	93	museum N8999294	9.0	9.793	10.586	11.379	12.171	12.964	13.757	14.55	15.343	16.136
183	museum	N2723957	N3515934	26.5	0.0	6	museum N2723957	19.125	19.862	20.6	21.338	22.075	22.813	23.55	24.288	25.025	25.763
196	museum	N8235434	N9086861	25.25	1.0	1	museum N8235434	15.312	16.306	17.3	18.294	19.288	20.281	21.275	22.269	23.263	24.256
205	museum	N4708138	N3592924	31.5	0.0	2	museum N4708138	22.625	23.513	24.4	25.288	26.175	27.063	27.95	28.838	29.725	30.613
204	museum	N4708138	N8137719	27.5	1.0	2	museum N4708138	19.625	20.412	21.2	21.988	22.775	23.563	24.35	25.138	25.925	26.713
29	museum	N599523	N8999294	14.368422	0.7380952381	126	museum N599523	8.132	8.755	9.379	10.003	10.626	11.25	11.874	12.497	13.121	13.745
30	museum	N599523	N1035050	15.736841	0.2619047619	126	museum N599523	8.711	9.413	10.116	10.818	11.521	12.224	12.926	13.629	14.332	15.034
182	museum	N2723957	N7639406	24.5	1.0	6	museum N2723957	17.625	18.312	19.0	19.688	20.375	21.063	21.75	22.438	23.125	23.813
71	museum	N1035050	N9773808	18.333332000000002	0.9666666667	30	museum N1035050	9.8	10.653	11.507	12.36	13.213	14.067	14.92	15.773	16.627	17.48
70	museum	N1035050	N9449477	17.8	0.033333333300000004	30	museum N1035050	11.1	11.77	12.44	13.11	13.78	14.45	15.12	15.79	16.46	17.13
108	museum	N9449477	N3228077	20.1	1.0	1	museum N9449477	11.4	12.27	13.14	14.01	14.88	15.75	16.62	17.49	18.36	19.23
110	museum	N9449477	N934578	28.9	0.0	1	museum N9449477	16.4	17.65	18.9	20.15	21.4	22.65	23.9	25.15	26.4	27.65
109	museum	N9449477	N3255322	20.9	0.0	1	museum N9449477	13.65	14.375	15.1	15.825	16.55	17.275	18.0	18.725	19.45	20.175
117	museum	N3878259	N4337909	20.5	0.9032258065000001	31	museum N3878259	11.4	12.31	13.22	14.13	15.04	15.95	16.86	17.77	18.68	19.59
138	museum	N4946088	N8559917	21.25	0.7586206897	29	museum N4946088	12.812	13.656	14.5	15.344	16.188	17.031	17.875	18.719	19.563	20.406
